URL,Headline,Content_Pubdate,Content_Subtitle,Content_Wrapper
https://www.mprnews.org/story/2012/12/13/teaching-minnesota-elloverview,Ranks of English learners swelling in Minnesota schools,"December 17, 2012 2:00 AM",NA,NA
https://www.mprnews.org/story/2016/06/07/to-be-a-young-teacher-in-minnesota,To be a young teacher in Minnesota,"June 7, 2016 1:54 AM",NA,NA
https://www.mprnews.org/story/2015/12/04/full-service-schools,MN teachers union seeks $2 million expansion of full-service schools,"December 4, 2015 4:44 PM",NA,NA
https://www.mprnews.org/story/2010/01/06/teachers-honored,Two Minn. teachers honored by Obama,"January 6, 2010 12:11 PM",NA,NA
https://www.mprnews.org/story/2020/03/10/st-paul-classes-canceled-as-citys-public-school-teachers-strike,St. Paul classes canceled as city’s public school teachers strike,"March 10, 2020 5:10 AM",NA,NA
https://www.mprnews.org/story/2021/01/25/teachers-to-get-15k-more-vaccines-this-week-as-walz-rolls-out-education-priorities,Teachers to get 15K more vaccines this week as Walz rolls out education priorities ,"January 25, 2021 12:05 PM",NA,NA
https://www.mprnews.org/story/2019/07/23/mn-school-safety-training,MN researchers roll out revolutionary approach to school safety training,"July 23, 2019 3:48 PM",NA,NA
https://www.mprnews.org/story/2014/06/30/minnesota-charter-schools-union-vote,Union votes at two charter schools could open door to others,"June 30, 2014 4:15 PM",NA,NA
https://www.mprnews.org/story/2017/05/08/mound-westonka-language-arts-instructor-teacher-of-year,Mound Westonka language arts instructor named top teacher,"May 8, 2017 5:50 AM",NA,NA
https://www.mprnews.org/story/2014/10/29/young-teachers,"Young teachers need mentoring to thrive, survive","October 29, 2014 5:46 PM",NA,NA
https://www.mprnews.org/story/2012/02/22/teacher-tenure,Minn. teachers weigh in on proposed tenure shakeup,"February 22, 2012 3:25 PM",NA,NA
